#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12524 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:130 out:129 type:P dur:2 cpbdur:2 q:29.12 aq:17.77 tex:111021 mv:26298 misc:6697 imb:2915 pmb:1393 smb:3852 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:29.22 aq:21.34 tex:14329 mv:9753 misc:5782 imb:193 pmb:1517 smb:6450 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:28.88 aq:18.71 tex:55630 mv:27244 misc:7686 imb:2156 pmb:1880 smb:4124 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:29.00 aq:20.14 tex:23476 mv:13935 misc:6989 imb:298 pmb:2032 smb:5830 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:29.06 aq:21.34 tex:13699 mv:7634 misc:5579 imb:150 pmb:1331 smb:6679 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:28.94 aq:21.49 tex:11087 mv:7204 misc:5213 imb:136 pmb:1204 smb:6820 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:28.42 aq:18.62 tex:67665 mv:29915 misc:7636 imb:2464 pmb:1980 smb:3716 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:28.65 aq:20.16 tex:27647 mv:14090 misc:7079 imb:268 pmb:2088 smb:5804 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:28.77 aq:21.54 tex:14850 mv:9608 misc:5902 imb:189 pmb:1426 smb:6545 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:28.54 aq:21.67 tex:14211 mv:7764 misc:5369 imb:145 pmb:1248 smb:6767 d:- ref:0 ;
